shot_id,n_pass_nodes,n_pass_edges,n_passes_prev,pass_density,pass_clustering,pass_avg_path_length,pass_largest_eigenvalue,shooter_in_degree,shooter_out_degree,shooter_betweenness,shooter_eigenvector
82b24884-2601-40a1-a016-15c876f6ddbc,4,3,3,0.25,0.0,1.0,1.0,1.0,0.0,0.0,0.0
331e552a-bf38-4977-b87c-2bbb1b281c62,4,4,4,0.3333333333333333,0.0,,1.0,1.0,0.0,0.0,0.0
ae9a38af-5ca6-4bbc-9a85-34d4e9aa0e89,4,4,4,0.3333333333333333,0.5833333333333333,,0.9999999999999999,2.0,1.0,0.5,0.0
1d26f4b1-0022-479a-a209-a8b714cd6f1c,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
972eb987-0c5a-4c1e-92eb-be61658b0ba1,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
2d471cca-8bdc-4204-aa82-59d0fae5bd21,9,22,23,0.3055555555555556,0.4259259259259259,2.0694444444444446,2.9460245150879576,3.0,2.0,0.125,0.4553450116267125
2196b3ef-b7f7-421d-b71e-8f15b9cd1fa9,9,18,23,0.25,0.0617283950617284,1.9537037037037033,2.698360646237004,2.0,1.0,0.08928571428571427,0.19465529389444888
18fe5d98-8cd1-4a43-bd34-f5a73f46d7ac,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
30004327-97f1-4663-b1b5-26e6642c267e,2,1,1,0.5,0.0,,0.0,,,,
1a0525aa-6f44-477f-9d03-004323383d18,5,5,5,0.25,0.0,,1.0,1.0,0.0,0.0,0.0
a29371aa-73b8-4391-a2b6-5d35039cae0c,6,6,6,0.2,0.0,,1.0,1.0,0.0,0.0,0.0
4880c409-6ee0-4a5f-93d2-97cb9a00bbcd,5,5,5,0.25,0.0,,1.0,1.0,0.0,0.0,0.0
d24b2b24-be3c-4bbf-be20-c0574500ead9,4,4,4,0.3333333333333333,0.0,,1.0,1.0,0.0,0.0,0.0
2170a298-e3d5-4f41-a2a4-cf97beb1934b,6,8,10,0.26666666666666666,0.45386915136260714,1.9166666666666667,1.7277535004007123,2.0,1.0,0.2,0.617357660256743
