shot_id,match_id,player,team,period,minute,second,time_window,score_diff,score_state,location,shot_angle,d_0,n_def,d_m,p_score,shooter_rank,n_shooting_options,shooter_rank_pct,shooter_is_best_option,shooter_rank_valid,n_valid_shooting_options,shooter_rank_valid_pct,shooter_is_best_valid_option,best_teammate_p_score,best_valid_teammate_p_score,best_option_p_score,n_better_invalid_position,n_better_teammates,n_better_options,best_pass_interception_prob,best_pass_retention_prob,best_pass_risk,shooter_value,best_teammate_value,best_teammate_pass_success_prob,decision_value,good_decision,shot_outcome,shot_xg,decision_margin
06d84163-d171-4a72-a325-e5cd4355dd27,3895167,Alejandro Grimaldo García,Bayer Leverkusen,1,28,51,23-45+,0,0,"[110.1, 24.3]",13.555088671883322,18.56071119327059,2,7.503496417159031,0.0646889178719185,5,7,0.7142857142857143,False,5,7,0.7142857142857143,False,0.2668603196360347,0.2668603196360347,0.2668603196360347,0,4,0,,,,0.0646889178719185,,,0.0646889178719185,True,Blocked,0.03831531,0.0
a4edc69f-f0f7-430c-a367-51a72a525730,3895167,Amine Adli,Bayer Leverkusen,1,29,17,23-45+,0,0,"[111.3, 38.8]",48.707013758840574,8.782368700982673,2,2.7543052853463745,0.1290162801449915,6,10,0.6,False,6,10,0.6,False,0.3002306675074995,0.3002306675074995,0.3002306675074995,0,5,2,0.0002725501066596,0.991273720949544,-0.9910011708428844,0.1290162801449915,0.128556644246379,0.991273720949544,0.0004596358986125,False,Off T,0.062382694,0.00045963589861250376
a9dca599-1e3d-449c-a90f-748d24a0ec03,3895167,Victor Okoh Boniface,Bayer Leverkusen,1,32,46,23-45+,0,0,"[104.2, 24.5]",14.934728224697844,22.13345883498555,1,18.770258520634812,0.0914477950601227,5,7,0.7142857142857143,False,4,6,0.6666666666666666,False,0.2976546824760174,0.2976546824760174,0.2976546824760174,1,3,0,,,,0.0914477950601227,,,0.0914477950601227,True,Off T,0.0374117,0.0
4f1dea41-77d1-4445-9586-218cbe3a5868,3895167,Florian Wirtz,Bayer Leverkusen,1,34,9,23-45+,0,0,"[108.2, 30.5]",23.853829464967564,15.148927354766736,1,11.379799750545626,0.1576994627525037,3,6,0.5,False,2,5,0.4,False,0.3535224691480017,0.3005282409199193,0.3005282409199193,1,1,0,,,,0.1576994627525037,,,0.1576994627525037,True,Blocked,0.12123736,0.0
0dc1e36d-6ea9-4030-aea5-71aaef3d7162,3895167,Florian Wirtz,Bayer Leverkusen,2,46,36,45-68,-1,-1,"[112.9, 44.4]",46.56970946011071,8.35284382710463,0,inf,0.5126163823856137,2,5,0.4,False,1,4,0.25,True,0.5126164026126249,0.1109804101466312,0.5126163823856137,1,0,0,,,,0.5126163823856137,,,0.5126163823856137,True,Goal,0.44466448,0.0
e36045f1-0693-4d2c-9875-8cef880e2844,3895167,Granit Xhaka,Bayer Leverkusen,2,48,28,45-68,0,0,"[93.6, 39.5]",17.225346863826587,26.40473442396269,1,26.209618661422557,0.065373367606923,3,6,0.5,False,3,6,0.5,False,0.1040936968286939,0.1040936968286939,0.1040936968286939,0,2,0,,,,0.065373367606923,,,0.065373367606923,True,Post,0.04765752,0.0
85e565bb-80fc-4a56-b3b1-b8ea24a6d904,3895167,Victor Okoh Boniface,Bayer Leverkusen,2,52,0,45-68,0,0,"[110.9, 38.9]",46.94410391354617,9.166242414424785,1,7.595944807181022,0.2500838367973947,2,8,0.25,False,2,7,0.2857142857142857,False,0.2500838680841444,0.2500838680841444,0.2500838680841444,0,1,1,0.0,0.982547490913071,-0.982547490913071,0.2500838367973947,0.2457192771039115,0.982547490913071,0.0043645596934831,False,Saved,0.093883015,0.004364559693483205
a861f4a3-b93a-43aa-93e2-54de347bd750,3895167,Alejandro Grimaldo García,Bayer Leverkusen,2,54,25,45-68,0,0,"[113.4, 29.0]",19.5658211892369,12.828094168659655,1,8.049669032091458,0.1871323763768849,3,7,0.4285714285714285,False,2,6,0.3333333333333333,False,0.5383554197035931,0.5383554197035931,0.5383554197035931,1,1,0,,,,0.1871323763768849,,,0.1871323763768849,True,Saved Off Target,0.07776846,0.0
23427aaa-0911-45a8-8b0a-15e835616257,3895167,Victor Okoh Boniface,Bayer Leverkusen,2,60,1,45-68,0,0,"[111.8, 26.1]",15.021826945681813,16.138463371709214,1,11.422339343342282,0.1457159404329751,3,5,0.6,False,3,5,0.6,False,0.5347228375562938,0.5347228375562938,0.5347228375562938,0,2,1,0.0,0.982547490913071,-0.982547490913071,0.1457159404329751,0.1431728523505416,0.982547490913071,0.0025430880824334,False,Blocked,0.051992577,0.0025430880824334756
8e4846a9-c97e-42b7-b219-023fec7d93d2,3895167,Alejandro Grimaldo García,Bayer Leverkusen,2,60,9,45-68,0,0,"[94.4, 27.8]",14.565228069439367,28.358420266298324,2,10.68591127201224,0.0300135573920513,6,8,0.75,False,4,6,0.6666666666666666,False,0.2086413210827234,0.1351749954373446,0.1351749954373446,2,3,1,0.0,0.982547490913071,-0.982547490913071,0.0300135573920513,0.0294897478743269,0.982547490913071,0.0005238095177244,False,Blocked,0.021429176,0.0005238095177244016
